name,item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Urshifu-Rapid-Strike,3,3,4,252,236,132,252,124,252,0,0,31,31,31,27,Surging Strikes,Close Combat,Aqua Jet,Detect
Lunala,0,4,1,92,252,4,196,4,156,31,0,31,26,31,0,Moongeist Beam,Moonblast,Calm Mind,Protect
Miraidon,2,1,4,252,4,108,116,140,4,31,20,31,22,31,2,Electro Drift,Draco Meteor,Volt Switch,Snarl
Volcarona,3,4,2,252,252,196,4,60,252,0,0,31,20,31,27,Fiery Dance,Rage Powder,Will-O-Wisp,Tailwind
Calyrex-Shadow,3,2,5,4,252,4,252,20,252,0,0,31,16,31,0,Astral Barrage,Draining Kiss,Nasty Plot,Protect
Grimmsnarl,2,3,4,252,108,4,252,140,4,31,0,31,31,31,0,Spirit Break,Reflect,Light Screen,Thunder Wave
Clefairy,3,6,4,252,236,132,252,124,252,0,0,31,31,31,27,Follow Me,Helping Hand,Life Dew,Protect
Incineroar,3,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Fake Out,Knock Off,Parting Shot,Taunt
Ho-Oh,3,8,4,252,4,108,116,140,4,31,20,31,22,31,2,Sacred Fire,Brave Bird,Tailwind,Protect
Rillaboom,3,1,2,252,252,196,4,60,252,0,0,31,20,31,27,Wood Hammer,Grassy Glide,Fake Out,U-turn
Koraidon,3,1,5,4,252,4,252,20,252,0,0,31,16,31,0,Flare Blitz,Collision Course,Flame Charge,Protect
Calyrex-Shadow,3,2,4,252,108,4,252,140,4,31,0,31,31,31,0,Astral Barrage,Encore,Psychic,Protect
Raging Bolt,3,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Thunderclap,Dragon Pulse,Thunderbolt,Electroweb
Chi-Yu,2,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Heat Wave,Dark Pulse,Overheat,Snarl
Weezing-Galar,1,5,4,252,4,108,116,140,4,31,20,31,22,31,2,Strange Steam,Taunt,Will-O-Wisp,Protect
Amoonguss,3,8,2,252,252,196,4,60,252,0,0,31,20,31,27,Spore,Grass Knot,Rage Powder,Protect
Chien-Pao,2,2,5,4,252,4,252,20,252,0,0,31,16,31,0,Ice Spinner,Sucker Punch,Taunt,Protect
Calyrex-Shadow,3,2,4,252,108,4,252,140,4,31,0,31,31,31,0,Astral Barrage,Psychic,Encore,Protect
Zamazenta-Crowned,2,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Body Press,Heavy Slam,Wide Guard,Protect
Ting-Lu,3,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Ruination,Sand Tomb,Snarl,Stone Edge
Raging Bolt,2,2,4,252,4,108,116,140,4,31,20,31,22,31,2,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Amoonguss,3,8,2,252,252,196,4,60,252,0,0,31,20,31,27,Pollen Puff,Spore,Rage Powder,Protect
Zamazenta-Crowned,2,2,5,4,252,4,252,20,252,0,0,31,16,31,0,Body Press,Heavy Slam,Wide Guard,Protect
Iron Hands,3,2,4,252,108,4,252,140,4,31,0,31,31,31,0,Wild Charge,Low Kick,Volt Switch,Fake Out
Chien-Pao,3,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Icicle Crash,Sucker Punch,Crunch,Protect
Grimmsnarl,2,3,1,92,252,4,196,4,156,31,0,31,26,31,0,Reflect,Spirit Break,Light Screen,Thunder Wave
Miraidon,2,1,4,252,4,108,116,140,4,31,20,31,22,31,2,Electro Drift,Draco Meteor,Dazzling Gleam,Volt Switch
Farigiraf,2,0,2,252,252,196,4,60,252,0,0,31,20,31,27,Psychic,Foul Play,Trick Room,Helping Hand
Miraidon,2,1,5,4,252,4,252,20,252,0,0,31,16,31,0,Electro Drift,Draco Meteor,Dazzling Gleam,Volt Switch
Grimmsnarl,2,3,4,252,108,4,252,140,4,31,0,31,31,31,0,Spirit Break,Reflect,Light Screen,Thunder Wave
Volcarona,3,4,4,252,236,132,252,124,252,0,0,31,31,31,27,Fiery Dance,Giga Drain,Quiver Dance,Protect
Zamazenta-Crowned,2,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Heavy Slam,Body Press,Wide Guard,Protect
Iron Hands,3,2,4,252,4,108,116,140,4,31,20,31,22,31,2,Volt Switch,Wild Charge,Fake Out,Low Kick
Ditto,3,3,2,252,252,196,4,60,252,0,0,31,20,31,27,Transform,Foul Play,Trick Room,Helping Hand
Koraidon,2,1,5,4,252,4,252,20,252,0,0,31,16,31,0,Protect,Close Combat,Flare Blitz,Flame Charge
Terapagos,0,4,4,252,108,4,252,140,4,31,0,31,31,31,0,Tera Starstorm,Earth Power,Calm Mind,Protect
Raging Bolt,3,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Thunderclap,Thunderbolt,Dragon Pulse,Snarl
Flutter Mane,3,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Protect,Moonblast,Icy Wind,Taunt
Incineroar,3,2,4,252,4,108,116,140,4,31,20,31,22,31,2,Parting Shot,Knock Off,Fake Out,Taunt
Amoonguss,3,8,2,252,252,196,4,60,252,0,0,31,20,31,27,Protect,Spore,Pollen Puff,Rage Powder
Amoonguss,3,8,5,4,252,4,252,20,252,0,0,31,16,31,0,Pollen Puff,Spore,Protect,Rage Powder
Incineroar,3,2,4,252,108,4,252,140,4,31,0,31,31,31,0,Flare Blitz,Knock Off,U-turn,Fake Out
Zamazenta-Crowned,2,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Body Press,Heavy Slam,Protect,Wide Guard
Calyrex-Shadow,2,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Astral Barrage,Psychic,Protect,Nasty Plot
Chien-Pao,3,2,4,252,4,108,116,140,4,31,20,31,22,31,2,Ice Spinner,Sucker Punch,Sacred Sword,Protect
Raging Bolt,2,2,2,252,252,196,4,60,252,0,0,31,20,31,27,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Koraidon,2,1,5,4,252,4,252,20,252,0,0,31,16,31,0,Close Combat,Flare Blitz,Protect,Flame Charge
Lunala,2,4,4,252,108,4,252,140,4,31,0,31,31,31,0,Moongeist Beam,Meteor Beam,Wide Guard,Trick Room
Flutter Mane,3,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Moonblast,Shadow Ball,Icy Wind,Protect
Chi-Yu,2,2,1,92,252,4,196,4,156,31,0,31,26,31,0,Heat Wave,Snarl,Overheat,Ruination
Brute Bonnet,3,2,4,252,4,108,116,140,4,31,20,31,22,31,2,Seed Bomb,Sucker Punch,Spore,Rage Powder
Ursaluna,2,2,2,252,252,196,4,60,252,0,0,31,20,31,27,Facade,Headlong Rush,Earthquake,Protect
Grimmsnarl,2,3,5,4,252,4,252,20,252,0,0,31,16,31,0,Spirit Break,Light Screen,Reflect,Thunder Wave
Calyrex-Ice,0,2,4,252,108,4,252,140,4,31,0,31,31,31,0,Protect,Trick Room,Glacial Lance,Leech Seed
Iron Hands,3,2,4,252,236,132,252,124,252,0,0,31,31,31,27,Low Kick,Drain Punch,Wild Charge,Fake Out
Miraidon,2,1,1,92,252,4,196,4,156,31,0,31,26,31,0,Electro Drift,Volt Switch,Draco Meteor,Dazzling Gleam
Annihilape,2,2,4,252,4,108,116,140,4,31,20,31,22,31,2,Close Combat,Final Gambit,Coaching,Rage Fist
Volcarona,3,4,2,252,252,196,4,60,252,0,0,31,20,31,27,Protect,Struggle Bug,Quiver Dance,Fiery Dance
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta-Crowned,2,2,2,84,4,244,252,4,172,31,0,31,31,31,0,Body Press,Heavy Slam,Wide Guard,Protect
Smeargle,3,2,5,76,236,180,252,124,252,0,0,31,31,31,27,Spore,Fake Out,Wide Guard,Follow Me
Incineroar,3,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Knock Off,Helping Hand,Parting Shot,Fake Out
Rillaboom,3,1,1,252,76,4,116,156,20,31,20,31,22,31,2,Wood Hammer,Grassy Glide,Fake Out,U-turn
Raging Bolt,2,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Incineroar,3,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Knock Off,U-turn,Flare Blitz,Fake Out
Calyrex-Shadow,2,2,2,84,4,244,252,4,172,31,0,31,31,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Chien-Pao,3,2,5,76,236,180,252,124,252,0,0,31,31,31,27,Ice Spinner,Sucker Punch,Taunt,Protect
Amoonguss,3,8,2,236,252,188,196,84,156,31,0,31,26,31,0,Spore,Rage Powder,Pollen Puff,Protect
Zamazenta,2,2,1,252,76,4,116,156,20,31,20,31,22,31,2,Body Press,Heavy Slam,Wide Guard,Protect
Raging Bolt,2,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Zamazenta,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Protect,Heavy Slam,Wide Guard,Body Press
Raging Bolt,2,2,2,84,4,244,252,4,172,31,0,31,31,31,0,Protect,Thunderbolt,Draco Meteor,Thunderclap
Amoonguss,3,8,5,76,236,180,252,124,252,0,0,31,31,31,27,Spore,Sludge Bomb,Rage Powder,Protect
Chien-Pao,2,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Icicle Crash,Taunt,Sucker Punch,Protect
Rillaboom,3,1,1,252,76,4,116,156,20,31,20,31,22,31,2,Fake Out,Grassy Glide,Wood Hammer,U-turn
Calyrex-Shadow,3,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Protect,Psychic,Astral Barrage,Encore
Ogerpon-Hearthflame,2,3,5,28,252,4,220,4,252,0,0,31,16,31,0,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield
Rillaboom,3,1,2,84,4,244,252,4,172,31,0,31,31,31,0,Wood Hammer,Grassy Glide,U-turn,Fake Out
Lunala,0,4,5,76,236,180,252,124,252,0,0,31,31,31,27,Moongeist Beam,Moonblast,Calm Mind,Protect
Miraidon,2,1,2,236,252,188,196,84,156,31,0,31,26,31,0,Electro Drift,Volt Switch,Snarl,Draco Meteor
Incineroar,3,2,1,252,76,4,116,156,20,31,20,31,22,31,2,Will-O-Wisp,Knock Off,Parting Shot,Fake Out
Grimmsnarl,2,3,3,116,252,76,244,4,68,0,20,31,20,31,27,Spirit Break,Reflect,Light Screen,Thunder Wave
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Protect,Astral Barrage,Psychic,Nasty Plot
Clefairy,3,6,2,84,4,244,252,4,172,31,0,31,31,31,0,Protect,Follow Me,Helping Hand,Encore
Rillaboom,3,1,5,76,236,180,252,124,252,0,0,31,31,31,27,Grassy Glide,Wood Hammer,U-turn,Fake Out
Raging Bolt,2,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Protect,Thunderbolt,Draco Meteor,Thunderclap
Zamazenta,2,2,1,252,76,4,116,156,20,31,20,31,22,31,2,Protect,Body Press,Heavy Slam,Wide Guard
Incineroar,3,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Knock Off,Fake Out,Flare Blitz,Parting Shot
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Substitute,Protect
Ogerpon-Hearthflame,2,3,2,84,4,244,252,4,172,31,0,31,31,31,0,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield
Zamazenta,2,2,5,76,236,180,252,124,252,0,0,31,31,31,27,Body Press,Heavy Slam,Wide Guard,Protect
Raging Bolt,2,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Whimsicott,3,3,1,252,76,4,116,156,20,31,20,31,22,31,2,Moonblast,Tailwind,Fake Tears,Encore
Chien-Pao,3,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Ice Spinner,Taunt,Sucker Punch,Protect
Iron Valiant,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Spirit Break,Close Combat,Disable,Protect
Incineroar,3,2,2,84,4,244,252,4,172,31,0,31,31,31,0,Knock Off,Flare Blitz,Parting Shot,Fake Out
Terapagos,2,3,5,76,236,180,252,124,252,0,0,31,31,31,27,Tera Starstorm,Earth Power,Calm Mind,Protect
Sinistcha-Masterpiece,3,8,2,236,252,188,196,84,156,31,0,31,26,31,0,Shadow Ball,Rage Powder,Protect,Strength Sap
Miraidon,3,1,1,252,76,4,116,156,20,31,20,31,22,31,2,Electro Drift,Draco Meteor,Volt Switch,Snarl
Iron Treads,2,2,3,116,252,76,244,4,68,0,20,31,20,31,27,High Horsepower,Iron Head,Ice Spinner,Steel Roller
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Ogerpon-Hearthflame,2,3,2,84,4,244,252,4,172,31,0,31,31,31,0,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield
Incineroar,3,2,5,76,236,180,252,124,252,0,0,31,31,31,27,Fake Out,Knock Off,Helping Hand,Parting Shot
Rillaboom,3,1,2,236,252,188,196,84,156,31,0,31,26,31,0,Fake Out,Grassy Glide,Wood Hammer,U-turn
Raging Bolt,2,2,1,252,76,4,116,156,20,31,20,31,22,31,2,Thunderbolt,Draco Meteor,Thunderclap,Protect
Zamazenta,2,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Body Press,Heavy Slam,Wide Guard,Protect
Incineroar,3,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Knock Off,Taunt,Parting Shot,Fake Out
Miraidon,2,1,2,84,4,244,252,4,172,31,0,31,31,31,0,Electro Drift,Volt Switch,Draco Meteor,Snarl
Rillaboom,3,1,5,76,236,180,252,124,252,0,0,31,31,31,27,Wood Hammer,Grassy Glide,U-turn,Fake Out
Urshifu-Rapid-Strike,3,3,2,236,252,188,196,84,156,31,0,31,26,31,0,Surging Strikes,Close Combat,Aqua Jet,Protect
Volcarona,3,4,1,252,76,4,116,156,20,31,20,31,22,31,2,Fiery Dance,Rage Powder,Will-O-Wisp,Tailwind
Lunala,0,4,3,116,252,76,244,4,68,0,20,31,20,31,27,Moongeist Beam,Moonblast,Calm Mind,Protect
Lunala,0,4,5,28,252,4,220,4,252,0,0,31,16,31,0,Moongeist Beam,Moonblast,Calm Mind,Protect
Grimmsnarl,2,3,2,84,4,244,252,4,172,31,0,31,31,31,0,Spirit Break,Thunder Wave,Reflect,Light Screen
Miraidon,2,1,5,76,236,180,252,124,252,0,0,31,31,31,27,Electro Drift,Draco Meteor,Snarl,Volt Switch
Ogerpon-Hearthflame,2,3,2,236,252,188,196,84,156,31,0,31,26,31,0,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield
Incineroar,3,2,1,252,76,4,116,156,20,31,20,31,22,31,2,Will-O-Wisp,Knock Off,Fake Out,Parting Shot
Rillaboom,3,1,3,116,252,76,244,4,68,0,20,31,20,31,27,Wood Hammer,Grassy Glide,U-turn,Fake Out
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Incineroar,3,2,2,84,4,244,252,4,172,31,0,31,31,31,0,Helping Hand,Knock Off,Parting Shot,Fake Out
Raging Bolt,2,2,5,76,236,180,252,124,252,0,0,31,31,31,27,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Zamazenta,2,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Heavy Slam,Body Press,Wide Guard,Protect
Amoonguss,3,8,1,252,76,4,116,156,20,31,20,31,22,31,2,Spore,Rage Powder,Pollen Puff,Protect
Rillaboom,3,1,3,116,252,76,244,4,68,0,20,31,20,31,27,Fake Out,Wood Hammer,U-turn,Grassy Glide
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Ogerpon-Hearthflame,2,3,2,84,4,244,252,4,172,31,0,31,31,31,0,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield
Urshifu-Rapid-Strike,2,3,5,76,236,180,252,124,252,0,0,31,31,31,27,Surging Strikes,Close Combat,U-turn,Rain Dance
Zamazenta,2,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,3,1,1,252,76,4,116,156,20,31,20,31,22,31,2,Wood Hammer,Grassy Glide,U-turn,Fake Out
Incineroar,3,2,3,116,252,76,244,4,68,0,20,31,20,31,27,Knock Off,Parting Shot,Helping Hand,Fake Out
Incineroar,3,2,5,28,252,4,220,4,252,0,0,31,16,31,0,Will-O-Wisp,Fake Out,Parting Shot,Knock Off
Terapagos,2,3,2,84,4,244,252,4,172,31,0,31,31,31,0,Tera Starstorm,Calm Mind,Earth Power,Protect
Sinistcha,3,8,5,76,236,180,252,124,252,0,0,31,31,31,27,Matcha Gotcha,Life Dew,Rage Powder,Trick Room
Iron Treads,2,2,2,236,252,188,196,84,156,31,0,31,26,31,0,High Horsepower,Steel Roller,Rock Tomb,Protect
Urshifu-Rapid-Strike,2,3,1,252,76,4,116,156,20,31,20,31,22,31,2,Surging Strikes,Aqua Jet,Taunt,Detect
Miraidon,3,1,3,116,252,76,244,4,68,0,20,31,20,31,27,Draco Meteor,Volt Switch,Electro Drift,Snarl
Farigiraf,2,0,5,28,252,4,220,4,252,0,0,31,16,31,0,Psychic,Foul Play,Helping Hand,Trick Room
Iron Treads,2,2,2,84,4,244,252,4,172,31,0,31,31,31,0,Steel Roller,Iron Head,Knock Off,High Horsepower
Calyrex-Ice,3,2,5,76,236,180,252,124,252,0,0,31,31,31,27,Glacial Lance,Protect,High Horsepower,Trick Room
Incineroar,3,2,2,236,252,188,196,84,156,31,0,31,26,31,0,Will-O-Wisp,Knock Off,Fake Out,Parting Shot
Iron Hands,3,2,1,252,76,4,116,156,20,31,20,31,22,31,2,Wild Charge,Drain Punch,Low Kick,Fake Out
Miraidon,2,1,3,116,252,76,244,4,68,0,20,31,20,31,27,Electro Drift,Draco Meteor,Dazzling Gleam,Volt Switch
Koraidon,2,1,5,4,252,4,220,4,252,0,0,31,16,31,0,Flare Blitz,Close Combat,Flame Charge,Protect
Incineroar,3,2,2,244,4,244,252,20,172,31,0,31,31,31,25,Fake Out,Knock Off,Will-O-Wisp,Parting Shot
Flutter Mane,3,2,5,4,236,180,252,124,252,0,7,31,31,31,27,Moonblast,Shadow Ball,Icy Wind,Protect
Lunala,0,4,3,228,252,36,180,4,60,31,1,31,26,31,0,Moongeist Beam,Moonblast,Calm Mind,Protect
Rillaboom,3,1,1,236,36,4,116,236,20,31,20,31,22,31,2,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,2,2,3,196,252,76,180,12,44,0,20,31,20,31,27,Thunderbolt,Draco Meteor,Thunderclap,Protect
Farigiraf,2,0,5,4,252,4,220,4,252,0,0,31,16,31,0,Psychic,Foul Play,Trick Room,Helping Hand
Chien-Pao,3,2,2,244,4,244,252,20,172,31,0,31,31,31,25,Icicle Crash,Crunch,Sucker Punch,Protect
Volcarona,1,4,5,4,236,180,252,124,252,0,7,31,31,31,27,Fiery Dance,Giga Drain,Quiver Dance,Protect
Iron Hands,3,2,3,228,252,36,180,4,60,31,1,31,26,31,0,Fake Out,Drain Punch,Low Kick,Wild Charge
Zamazenta,2,2,1,236,36,4,116,236,20,31,20,31,22,31,2,Body Press,Iron Head,Wide Guard,Protect
Miraidon,2,1,3,196,252,76,180,12,44,0,20,31,20,31,27,Electro Drift,Draco Meteor,Snarl,Volt Switch
Whimsicott,3,3,5,4,252,4,220,4,252,0,0,31,16,31,0,Moonblast,Tailwind,Light Screen,Encore
Urshifu-Rapid-Strike,2,3,2,244,4,244,252,20,172,31,0,31,31,31,25,Surging Strikes,U-turn,Aqua Jet,Close Combat
Ursaluna,2,2,5,4,236,180,252,124,252,0,7,31,31,31,27,Facade,Headlong Rush,Earthquake,Protect
Miraidon,2,1,3,228,252,36,180,4,60,31,1,31,26,31,0,Electro Drift,Volt Switch,Draco Meteor,Dazzling Gleam
Lunala,2,4,1,236,36,4,116,236,20,31,20,31,22,31,2,Trick Room,Moonblast,Wide Guard,Moongeist Beam
Incineroar,3,2,3,196,252,76,180,12,44,0,20,31,20,31,27,U-turn,Knock Off,Flare Blitz,Fake Out
Urshifu-Rapid-Strike,2,3,5,4,252,4,220,4,252,0,0,31,16,31,0,Surging Strikes,Close Combat,Aqua Jet,Detect
Iron Jugulis,2,2,2,244,4,244,252,20,172,31,0,31,31,31,25,Hurricane,Snarl,Tailwind,Protect
Kyogre,2,1,5,4,236,180,252,124,252,0,7,31,31,31,27,Water Spout,Hydro Pump,Thunder,Protect
Rillaboom,3,1,3,228,252,36,180,4,60,31,1,31,26,31,0,Grassy Glide,Fake Out,Wood Hammer,U-turn
Amoonguss,3,8,1,236,36,4,116,236,20,31,20,31,22,31,2,Spore,Rage Powder,Pollen Puff,Protect
Calyrex-Ice,2,2,3,196,252,76,180,12,44,0,20,31,20,31,27,Glacial Lance,Seed Bomb,Trick Room,Protect
Tornadus,3,3,5,4,252,4,220,4,252,0,0,31,16,31,0,Tailwind,Rain Dance,Bleakwind Storm,Taunt
Kyogre,2,1,2,244,4,244,252,20,172,31,0,31,31,31,25,Origin Pulse,Thunder,Hydro Pump,Water Spout
Tsareena,2,0,5,4,236,180,252,124,252,0,7,31,31,31,27,Taunt,Power Whip,Triple Axel,Protect
Zacian,2,2,3,228,252,36,180,4,60,31,1,31,26,31,0,Protect,Play Rough,Sacred Sword,Iron Head
Landorus,2,2,1,236,36,4,116,236,20,31,20,31,22,31,2,Sludge Bomb,Protect,Earth Power,Sandsear Storm
Urshifu-Rapid-Strike,3,3,3,196,252,76,180,12,44,0,20,31,20,31,27,Surging Strikes,Taunt,Detect,Aqua Jet
Calyrex-Shadow,2,2,5,4,252,4,220,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta,2,2,2,244,4,244,252,20,172,31,0,31,31,31,25,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,3,1,5,4,236,180,252,124,252,0,7,31,31,31,27,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,2,2,3,228,252,36,180,4,60,31,1,31,26,31,0,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Smeargle,3,2,1,236,36,4,116,236,20,31,20,31,22,31,2,Spore,Follow Me,Wide Guard,Fake Out
Incineroar,3,2,3,196,252,76,180,12,44,0,20,31,20,31,27,Knock Off,Helping Hand,Parting Shot,Fake Out
Raging Bolt,3,2,5,4,252,4,220,4,252,0,0,31,16,31,0,Thunderbolt,Dragon Pulse,Electroweb,Thunderclap
Calyrex-Shadow,3,2,2,244,4,244,252,20,172,31,0,31,31,31,25,Astral Barrage,Encore,Psychic,Protect
Chi-Yu,2,2,5,4,236,180,252,124,252,0,7,31,31,31,27,Heat Wave,Dark Pulse,Snarl,Overheat
Koraidon,3,1,3,228,252,36,180,4,60,31,1,31,26,31,0,Collision Course,Flare Blitz,Flame Charge,Protect
Amoonguss,3,8,1,236,36,4,116,236,20,31,20,31,22,31,2,Spore,Protect,Grass Knot,Rage Powder
Weezing-Galar,1,5,3,196,252,76,180,12,44,0,20,31,20,31,27,Strange Steam,Will-O-Wisp,Taunt,Protect
Ogerpon-Cornerstone,2,4,5,4,252,4,220,4,252,0,0,31,16,31,0,Ivy Cudgel,Spiky Shield,Follow Me,Taunt
Amoonguss,3,8,2,244,4,244,252,20,172,31,0,31,31,31,25,Spore,Rage Powder,Pollen Puff,Protect
Porygon2,3,2,5,4,236,180,252,124,252,0,7,31,31,31,27,Tera Blast,Shadow Ball,Trick Room,Recover
Incineroar,3,2,3,228,252,36,180,4,60,31,1,31,26,31,0,Will-O-Wisp,Knock Off,Parting Shot,Fake Out
Terapagos,0,3,1,236,36,4,116,236,20,31,20,31,22,31,2,Tera Starstorm,Calm Mind,Earth Power,Protect
Calyrex-Shadow,3,2,3,196,252,76,180,12,44,0,20,31,20,31,27,Astral Barrage,Encore,Disable,Protect
Miraidon,2,1,3,252,252,36,196,12,12,0,0,31,16,31,0,Electro Drift,Draco Meteor,Volt Switch,Discharge
Glimmora,3,4,4,212,4,4,4,124,164,31,0,31,31,31,25,Mortal Spin,Sludge Bomb,Power Gem,Tera Blast
Calyrex-Ice,3,2,1,244,116,4,252,100,44,0,7,31,31,31,27,Glacial Lance,High Horsepower,Trick Room,Protect
Dondozo,0,3,2,4,4,116,180,228,156,31,1,31,26,31,0,Earthquake,Protect,Order Up,Body Press
Tatsugiri-Droopy,3,6,5,252,36,4,36,236,220,31,0,31,22,31,2,Draco Meteor,Muddy Water,Mirror Coat,Protect
Iron Treads,2,2,5,4,236,4,180,84,180,0,20,31,20,31,27,High Horsepower,Iron Head,Knock Off,Steel Roller
Incineroar,3,2,4,244,4,92,196,76,92,0,0,31,16,31,0,Knock Off,Taunt,Parting Shot,Fake Out
Rillaboom,3,1,1,252,4,76,4,172,4,31,0,31,31,31,25,Wood Hammer,Grassy Glide,U-turn,Fake Out
Urshifu-Rapid-Strike,3,3,1,4,236,84,252,4,180,0,7,31,31,31,27,Surging Strikes,Close Combat,Aqua Jet,Detect
Lunala,0,4,3,92,4,204,124,4,84,31,0,31,26,31,0,Moongeist Beam,Moonblast,Calm Mind,Protect
Miraidon,2,1,3,140,36,36,124,4,204,31,0,31,22,31,2,Electro Drift,Draco Meteor,Volt Switch,Snarl
Volcarona,3,4,2,252,236,228,180,28,180,0,0,31,20,31,27,Fiery Dance,Rage Powder,Will-O-Wisp,Tailwind
Calyrex-Shadow,0,2,5,156,4,84,12,4,252,0,0,31,16,31,0,Astral Barrage,Tera Blast,Nasty Plot,Protect
Zamazenta-Crowned,2,2,2,244,4,152,4,100,12,31,0,31,31,31,25,Imprison,Protect,Body Press,Wide Guard
Raging Bolt,2,2,3,184,236,140,180,4,4,0,20,31,31,31,27,Thunderclap,Draco Meteor,Thunderbolt,Protect
Incineroar,3,2,4,180,4,60,124,180,84,31,0,31,26,31,0,Taunt,Knock Off,Parting Shot,Fake Out
Clefairy,3,6,4,252,36,216,124,40,204,31,0,31,22,31,0,Follow Me,Protect,After You,Helping Hand
Rillaboom,3,1,1,252,252,228,180,4,180,0,0,31,0,31,20,Wood Hammer,Grassy Glide,Fake Out,U-turn
Kyogre,2,1,3,116,4,68,156,4,164,0,0,31,16,31,0,Water Spout,Hydro Pump,Ice Beam,Protect
Zamazenta-Crowned,2,2,2,140,4,156,4,60,148,31,0,31,31,31,25,Behemoth Bash,Body Press,Wide Guard,Protect
Amoonguss,3,8,4,236,236,196,180,76,4,0,0,31,31,31,27,Pollen Puff,Rage Powder,Spore,Protect
Chien-Pao,3,2,5,180,252,4,124,180,252,31,0,31,26,31,0,Ice Spinner,Crunch,Sucker Punch,Protect
Landorus,2,2,3,12,36,12,196,36,252,31,0,31,22,31,0,Earth Power,Sludge Bomb,Sandsear Storm,Grass Knot
Roaring Moon,2,2,5,68,76,108,180,4,252,0,0,31,0,31,20,Knock Off,Acrobatics,Tailwind,Protect
Calyrex-Shadow,3,2,5,116,4,4,252,4,252,0,0,31,16,31,0,Astral Barrage,Psychic,Pollen Puff,Protect
Miraidon,2,1,3,44,4,4,196,12,252,31,0,31,31,31,25,Electro Drift,Draco Meteor,Volt Switch,Dazzling Gleam
Iron Hands,3,2,1,92,156,4,180,252,4,0,0,31,31,31,27,Fake Out,Wild Charge,Low Kick,Drain Punch
