Move: Pound | Category: Physical
Move: Torch Song | Category: Special
Move: Aqua Step | Category: Physical
Move: Raging Bull | Category: Physical
Move: Make It Rain | Category: Special
Move: Psyblade | Category: Physical
Move: Hydro Steam | Category: Special
Move: Ruination | Category: Special
Move: Collision Course | Category: Physical
Move: Electro Drift | Category: Special
Move: Shed Tail | Category: Status
Move: Chilly Reception | Category: Status
Move: Tidy Up | Category: Status
Move: Snowscape | Category: Status
Move: Pounce | Category: Physical
Move: Trailblaze | Category: Physical
Move: Chilling Water | Category: Special
Move: Hyper Drill | Category: Physical
Move: Twin Beam | Category: Special
Move: Rage Fist | Category: Physical
Move: Armor Cannon | Category: Special
Move: Bitter Blade | Category: Physical
Move: Double Shock | Category: Physical
Move: Gigaton Hammer | Category: Physical
Move: Comeuppance | Category: Physical
Move: Aqua Cutter | Category: Physical
Move: Blazing Torque | Category: Physical
Move: Wicked Torque | Category: Physical
Move: Noxious Torque | Category: Physical
Move: Combat Torque | Category: Physical
Move: Magical Torque | Category: Physical
Move: Blood Moon | Category: Special
Move: Matcha Gotcha | Category: Special
Move: Syrup Bomb | Category: Special
Move: Ivy Cudgel | Category: Physical
Move: Electro Shot | Category: Special
Move: Tera Starstorm | Category: Special
Move: Fickle Beam | Category: Special
Move: Burning Bulwark | Category: Status
Move: Thunderclap | Category: Special
Move: Mighty Cleave | Category: Physical
Move: Tachyon Cutter | Category: Special
Move: Hard Press | Category: Physical
Move: Dragon Cheer | Category: Status
Move: Alluring Voice | Category: Special
Move: Temper Flare | Category: Physical
Move: Supercell Slam | Category: Physical
Move: Psychic Noise | Category: Special
Move: Upper Hand | Category: Physical
Move: Malignant Chain | Category: Special 
