At index: 1 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 1506 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1508 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 1509 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1511 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1513 Name: Basculegion, Ability Category: 2, Ability Name: Swift Swim 
At index: 1514 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1516 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1517 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 1518 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1519 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 1520 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1525 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1526 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1527 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1530 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1531 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1535 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1537 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 1538 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1540 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1541 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1543 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1545 Name: Iron Bundle, Ability Category: 2, Ability Name: Quark Drive 
At index: 1549 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1552 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1557 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1558 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1559 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 1560 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1562 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1564 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1565 Name: Iron Treads, Ability Category: 2, Ability Name: Quark Drive 
At index: 1568 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1570 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1572 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1573 Name: Okidogi, Ability Category: 2, Ability Name: Guard Dog 
At index: 1575 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1577 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1579 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1580 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1582 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1585 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1586 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1587 Name: Iron Moth, Ability Category: 2, Ability Name: Quark Drive 
At index: 1588 Name: Iron Bundle, Ability Category: 2, Ability Name: Quark Drive 
At index: 1589 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1594 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1597 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1600 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1601 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1602 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1607 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 1608 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1610 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1611 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1612 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1615 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1617 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1618 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1620 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 1621 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1623 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1627 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1629 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1630 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1631 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1632 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1633 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1634 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1635 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1639 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1640 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1642 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1645 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1646 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1648 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1650 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 1652 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1655 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1657 Name: Scovillain, Ability Category: 2, Ability Name: Chlorophyll 
At index: 1662 Name: Gouging Fire, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1663 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1665 Name: Lilligant-Hisui, Ability Category: 2, Ability Name: Chlorophyll 
At index: 1670 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1672 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1674 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1676 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 1677 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1679 Name: Regieleki, Ability Category: 2, Ability Name: Transistor 
At index: 1681 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1683 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1684 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1687 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1689 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1692 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1695 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1696 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1697 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1698 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1699 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1700 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1703 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1706 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1708 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1710 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1711 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1712 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1715 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1718 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1719 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 1722 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1724 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1726 Name: Maushold, Ability Category: 2, Ability Name: Technician 
At index: 1728 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 1729 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1731 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1733 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1735 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1742 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1743 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1747 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1750 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1753 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1755 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1756 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1757 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1762 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1765 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1766 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1768 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 1771 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1772 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1775 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 1780 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1781 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1783 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1784 Name: Gouging Fire, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1786 Name: Kingambit, Ability Category: 2, Ability Name: Defiant 
At index: 1787 Name: Ting-Lu, Ability Category: 2, Ability Name: Vessel of Ruin 
At index: 1789 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1790 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1791 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1793 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1794 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1795 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1797 Name: Ting-Lu, Ability Category: 2, Ability Name: Vessel of Ruin 
At index: 1800 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1802 Name: Landorus, Ability Category: 2, Ability Name: Sand Force 
At index: 1804 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1807 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1808 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1810 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 1811 Name: Landorus-Therian, Ability Category: 2, Ability Name: Intimidate 
At index: 1812 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1813 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1814 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1815 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 1819 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1820 Name: Smeargle, Ability Category: 2, Ability Name: Technician 
At index: 1825 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1826 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1829 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1831 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1834 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1835 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1836 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1837 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1840 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1841 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1842 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1846 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1847 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1848 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1851 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 1852 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1854 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1860 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1862 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1864 Name: Overqwil, Ability Category: 2, Ability Name: Intimidate 
At index: 1868 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1871 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1872 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1876 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1878 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1879 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1883 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1885 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 1888 Name: Iron Valiant, Ability Category: 2, Ability Name: Quark Drive 
At index: 1890 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1892 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1898 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1899 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1901 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1903 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1905 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1906 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1907 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1910 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1912 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1913 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 1915 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1917 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1919 Name: Iron Treads, Ability Category: 2, Ability Name: Quark Drive 
At index: 1920 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1924 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1925 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1927 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1928 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1929 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1933 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1935 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1936 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1939 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1943 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 1944 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1945 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1948 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1949 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1951 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1952 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1957 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1958 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1964 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 1965 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 1966 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1968 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1972 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1973 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 1975 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1977 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1978 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 1979 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1980 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1984 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1987 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 1988 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 1992 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 1995 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 1996 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 1998 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2000 Name: Smeargle, Ability Category: 2, Ability Name: Technician 
At index: 2005 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2007 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2008 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2009 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2010 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2012 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2018 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 2019 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2021 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2022 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2025 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2027 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 2029 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2031 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2035 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2039 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2040 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2041 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2045 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2048 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2050 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2051 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2052 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2056 Name: Regieleki, Ability Category: 2, Ability Name: Transistor 
At index: 2058 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2060 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2064 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2067 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 2069 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 2070 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2073 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 2075 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2076 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2078 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 2083 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2084 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 2086 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2087 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2088 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2089 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2091 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 2092 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2095 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2099 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2100 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2104 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2105 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2108 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2110 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2111 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2113 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2115 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2117 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 2118 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2122 Name: Regieleki, Ability Category: 2, Ability Name: Transistor 
At index: 2124 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2127 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2128 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2131 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2132 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2133 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2135 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2136 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2140 Name: Regieleki, Ability Category: 2, Ability Name: Transistor 
At index: 2142 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2144 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2145 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2147 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2149 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2150 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2154 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2155 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2158 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2159 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 2161 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 2165 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 2166 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2167 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 2168 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 2170 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2171 Name: Ting-Lu, Ability Category: 2, Ability Name: Vessel of Ruin 
At index: 2173 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2175 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2176 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2177 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2179 Name: Overqwil, Ability Category: 2, Ability Name: Intimidate 
At index: 2180 Name: Ting-Lu, Ability Category: 2, Ability Name: Vessel of Ruin 
At index: 2181 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2185 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2187 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 2188 Name: Walking Wake, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2189 Name: Brute Bonnet, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2191 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 2192 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 2193 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 2197 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 2199 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
