At index: 10 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4556 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4569 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4579 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4585 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4589 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4590 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4599 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4601 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4603 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4608 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4618 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4626 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4637 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4660 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4664 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4673 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4675 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4687 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4700 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4710 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4723 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4740 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4750 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4762 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4770 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4792 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4793 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4800 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4809 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4813 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 4831 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4841 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4848 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4856 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4863 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4876 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4885 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4888 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4890 Name: Necrozma-Dawn-Wings, Ability Category: 4, Ability Name: Prism Armor 
At index: 4925 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4951 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4963 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4968 Name: Terapagos, Ability Category: 4, Ability Name: Tera Shell 
At index: 4971 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4975 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5005 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5008 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5011 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5017 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5020 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5032 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5035 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5037 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5055 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5076 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5081 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5083 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5088 Name: Terapagos, Ability Category: 4, Ability Name: Tera Shell 
At index: 5091 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5103 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5112 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5118 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5123 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5158 Name: Necrozma-Dawn-Wings, Ability Category: 4, Ability Name: Prism Armor 
At index: 5161 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5184 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5188 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5211 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5223 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5281 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5287 Name: Palkia, Ability Category: 4, Ability Name: Pressure 
At index: 5289 Name: Hatterene, Ability Category: 4, Ability Name: Magic Bounce 
At index: 5301 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5305 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5331 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5333 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 5334 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5347 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5368 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5371 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5384 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5401 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 5425 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5447 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5453 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5470 Name: Gengar, Ability Category: 4, Ability Name: Cursed Body 
At index: 5484 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5489 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5491 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5496 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5499 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5511 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5520 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5526 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5531 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5562 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5567 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5569 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5574 Name: Terapagos, Ability Category: 4, Ability Name: Tera Shell 
At index: 5577 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5589 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5598 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5604 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5609 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5637 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5672 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5677 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 5684 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5689 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5700 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5704 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5718 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5733 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5748 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5752 Name: Bastiodon, Ability Category: 4, Ability Name: Sturdy 
At index: 5759 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5770 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5787 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5796 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5797 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5811 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5812 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5833 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5849 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5864 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 5875 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5885 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5887 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5893 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5897 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5899 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5901 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5915 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 5939 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5975 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 5977 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 5990 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 6001 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6003 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 6011 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6013 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6019 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 6023 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6025 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 6027 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6036 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 6038 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6055 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 6094 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6097 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 6100 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6115 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 6129 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6148 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6165 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 6184 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 6186 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
Set of Abilities: {'Tera Shell', 'Multiscale', 'Pressure', 'Static', 'Synchronize', 'Sturdy', 'Prism Armor', 'Illusion', 'Magic Bounce', 'Toxic Debris', 'Cursed Body', 'Shadow Shield', 'Flame Body'}
